Case_ID,Tool,Diagnostic_Accuracy,Evidence,Differential_Diagnosis,Treatment_Plan,Labs_Imaging_interpretation,supportive_measures_remove,References,Usability_in_Practice
Case 2,ChatGPT,3,0,3,2,0,1,0,3
Case 2,OpenEvidence,3,3,3,3,2,1,1,3
Case 1,ChatGPT,3,0,1,2,0,1,0,2
Case 1,OpenEvidence,3,3,1,3,0,1,1,3
Case 3,ChatGPT,3,0,3,2,0,1,0,2
Case 3,OpenEvidence,3,3,3,2,0,1,1,2
Case 4,ChatGPT,3,0,1,2,0,1,0,3
Case 4,OpenEvidence,3,3,3,2,0,1,1,2
Case 5,ChatGPT,3,2,3,3,0,1,1,3
Case 5,OpenEvidence,3,3,3,2,0,1,1,3
Case 6,ChatGPT,3,0,0,2,0,1,0,2
Case 6,OpenEvidence,3,3,0,3,0,1,1,3
Case 7,ChatGPT,3,0,3,2,3,1,0,1
Case 7,OpenEvidence,3,3,3,3,3,1,1,1
Case 8,ChatGPT,3,0,2,1,2,1,0,1
Case 8,OpenEvidence,3,3,3,2,3,1,1,3
Case 9,ChatGPT,3,0,3,1,0,1,0,3
Case 9,OpenEvidence,3,3,3,2,0,1,1,2
Case 10,ChatGPT,3,0,0,2,0,1,0,2
Case 10,OpenEvidence,3,3,2,2,0,1,1,2
Case 11,ChatGPT,3,0,0,1,0,1,0,1
Case 11,OpenEvidence,3,3,3,3,0,1,1,2
Case 12,ChatGPT,3,0,3,2,2,1,0,2
Case 12,OpenEvidence,3,3,3,1,0,1,1,1
Case 13,ChatGPT,3,2,0,3,0,1,1,3
Case 13,OpenEvidence,3,3,3,2,0,1,1,1
Case 14,ChatGPT,3,0,3,2,3,1,0,2
Case 14,OpenEvidence,3,3,3,2,3,1,1,2
Case 15,ChatGPT,3,0,0,2,0,1,0,2
Case 15,OpenEvidence,3,3,3,2,0,1,1,1
Case 16,ChatGPT,3,0,3,2,0,1,0,2
Case 16,OpenEvidence,3,3,3,2,0,1,1,1
Case 17,ChatGPT,3,0,3,3,0,1,0,2
Case 17,OpenEvidence,3,3,3,3,0,1,1,3
Case 18,ChatGPT,3,0,3,2,0,1,0,2
Case 18,OpenEvidence,3,3,3,2,0,1,1,1
Case 19,ChatGPT,3,0,2,3,3,1,0,3
Case 19,OpenEvidence,3,3,3,3,3,1,1,3
Case 20,ChatGPT,3,0,0,3,0,1,0,3
Case 20,OpenEvidence,3,3,3,3,0,1,1,2
Case 21,ChatGPT,3,0,3,2,0,1,0,2
Case 21,OpenEvidence,3,3,3,3,0,1,1,3
Case 22,ChatGPT,3,0,0,3,3,1,0,3
Case 22,OpenEvidence,3,3,3,2,3,1,1,2
Case 23,ChatGPT,3,0,3,2,3,1,0,2
Case 23,OpenEvidence,3,3,3,2,3,1,1,2
Case 24,ChatGPT,3,0,3,1,3,1,0,1
Case 24,OpenEvidence,1,3,3,1,3,1,1,0
Case 25,ChatGPT,3,0,0,2,0,1,0,2
Case 25,OpenEvidence,3,3,3,0,0,1,1,0
Case 26,ChatGPT,3,0,1,2,3,1,0,2
Case 26,OpenEvidence,3,3,3,2,3,1,1,2
Case 27,ChatGPT,3,0,3,1,3,1,0,2
Case 27,OpenEvidence,3,3,3,2,3,1,1,2
Case 28,ChatGPT,3,0,1,2,0,1,0,2
Case 28,OpenEvidence,3,3,3,2,0,1,1,2
Case 29,ChatGPT,3,0,3,2,0,1,0,2
Case 29,OpenEvidence,3,3,3,2,2,1,1,2
Case 30,ChatGPT,3,0,3,2,3,1,0,2
Case 30,OpenEvidence,3,3,3,2,3,1,1,1
Case 31,ChatGPT,3,0,3,2,3,1,0,1
Case 31,OpenEvidence,2,3,3,2,3,1,1,2
Case 32,ChatGPT,3,0,3,2,0,1,0,2
Case 32,OpenEvidence,3,3,3,2,0,1,1,2
Case 33,ChatGPT,3,0,2,2,3,1,0,2
Case 33,OpenEvidence,3,3,3,2,3,1,1,2
Case 34,ChatGPT,3,0,3,2,3,1,0,2
Case 34,OpenEvidence,3,3,3,2,3,1,1,2
Case 35,ChatGPT,3,0,3,2,3,1,0,1
Case 35,OpenEvidence,3,3,3,2,3,1,1,2
Case 36,ChatGPT,3,0,2,3,3,1,0,3
Case 36,OpenEvidence,3,3,3,2,3,1,1,3
Case 37,ChatGPT,3,0,0,3,3,1,0,3
Case 37,OpenEvidence,3,3,3,2,3,1,1,3
Case 38,ChatGPT,3,0,3,2,3,1,0,3
Case 38,OpenEvidence,3,3,3,2,3,1,1,2
Case 39,ChatGPT,2,0,3,2,3,1,0,2
Case 39,OpenEvidence,1,3,3,2,3,1,1,1
Case 40,ChatGPT,3,0,2,2,3,1,0,3
Case 40,OpenEvidence,3,3,3,2,3,1,1,2
Case 41,ChatGPT,3,0,3,2,3,1,0,2
Case 41,OpenEvidence,3,3,3,2,3,1,1,2
Case 42,ChatGPT,3,0,3,1,3,1,0,2
Case 42,OpenEvidence,3,3,3,2,3,1,1,2
Case 43,ChatGPT,3,0,0,2,3,1,0,3
Case 43,OpenEvidence,3,3,3,2,3,1,1,2
Case 44,ChatGPT,3,0,3,2,3,1,0,2
Case 44,OpenEvidence,3,3,3,2,3,1,1,2
Case 45,ChatGPT,3,0,3,2,3,1,0,2
Case 45,OpenEvidence,3,3,3,2,2,1,1,2
Case 46,ChatGPT,3,0,3,3,3,1,0,3
Case 46,OpenEvidence,3,3,3,2,3,1,1,2
Case 47,ChatGPT,3,0,3,2,3,1,0,3
Case 47,OpenEvidence,3,3,3,3,3,1,1,3
Case 48,ChatGPT,3,0,3,2,3,1,0,3
