date,x1_count,x2_count,x3_count,x4_count,x5_count,x6_count,x6_mean,x6_max,x6_min,x6_std,x7_count,x8_count,x8_mean,x8_max,x8_min,x8_std,x9_count,x9_mean,x9_max,x9_min,x9_std,x10_count,x11_count,x12_count,x13_count,x14_count,x14_mean,x14_max,x14_min,x14_std,x15_count,x15_mean,x15_max,x15_min,x15_std,x16_count,x17_count,x17_mean,x17_max,x17_min,x17_std,x18_count,x19_count,x20_count,x21_count,x22_count,x23_count,x24_count,x25_count,x26_count,label
03/05/2015,0,0,0,0,0,0,78919.69565,9245.434783,41220.65217,14040.78261,0,0,72822,10556,44361,0,0,75800.73913,13898.69565,50125.56522,22548.34783,0,0,0,0,0,73570,11871,44580,0,0,75800.73913,13898.69565,50125.56522,22548.34783,0,0,83956.82609,489.7391304,16591.43478,12425.6087,0,0,0,0,0,0,0,0,0,0
04/05/2015,0,0,0,0,0,0,78785.34783,9482.217391,41109.82609,14709.3913,0,0,72822,10556,44361,0,0,77218.86957,14372.34783,51881.78261,23065.17391,0,0,0,0,0,73570,11871,44580,0,0,77218.86957,14372.34783,51881.78261,23065.17391,0,0,84074.91304,274.8695652,15347.21739,13017.30435,0,0,0,0,0,0,0,0,0,0
05/05/2015,0,0,0,0,0,1700,78651,9719,40999,15378,0,2,72822,10556,44361,0,5,78637,14846,53638,23582,0,0,0,0,2,73570,11871,44580,0,5,78637,14846,53638,23582,0,2421,84193,60,14103,13609,0,0,0,0,0,0,0,0,0,0
06/05/2015,0,0,0,0,0,1978,62134,1295,38893,20331,0,24,41061,1290,29703,12609,11,62046,1213,26671,16166,0,0,3,1,24,41061,1290,29703,12609,11,62045,1213,26671,16166,0,1738,86366,2060,41129,11652,0,0,0,0,0,0,0,0,0,0
07/05/2015,0,0,0,0,0,1832,73245,129,53549,11973,0,2,72822,10556,44361,0,3,74070,10580,45219,0,0,0,0,0,2,73570,11871,44580,0,3,74020,10591,44182,0,0,397,76982,1455,39785,20259,0,0,0,0,0,0,0,0,0,0
08/05/2015,0,0,0,0,0,2241,85037,9916,42633,27354,0,3,72822,10556,44361,0,8,84932,9879,59578,25385,0,0,0,0,3,73570,11871,44580,0,8,84932,9879,59578,25385,0,5,83857,27669,42529,23485,0,0,0,0,0,0,0,0,0,0
09/05/2015,0,0,0,0,0,2663,83463,2365,40390,23390,0,4,72822,10556,44361,0,2,74070,10580,45219,0,0,0,1,3,4,73570,11871,44580,0,3,74020,10591,44182,0,0,3,81477,5002,42720,0,0,0,0,0,0,0,0,0,0,0
10/05/2015,2,0,0,0,0,2149,86379,3915,42750,23113,0,2,72822,10556,44361,0,2,74070,10580,45219,0,0,0,0,1,2,73570,11871,44580,0,2,74020,10591,44182,0,11,2,81477,5002,42720,0,0,0,0,0,0,0,0,0,0,0
11/05/2015,0,0,0,0,0,17,64061,2654,35701,17771,0,6,64040,9874,52502,21365,15,50854,2609,30824,11734,0,0,0,0,6,64040,9874,52502,21365,16,50854,2609,32075,12393,0,12,86250,7052,47860,29669,0,0,0,0,0,0,0,0,0,0
12/05/2015,0,0,0,0,0,1,81741,4273,43548,0,0,2,72822,10556,44361,0,5,35762,1773,18272,12620,0,0,1,1,2,73570,11871,44580,0,5,35762,1773,18272,12620,0,17,83993,36854,59274,14173,0,0,0,0,0,0,0,0,0,0
